,year,sex,suicides_no,population,suicides/100k pop,HDI for year,gdp_per_capita,generation,gdp_for_year
47,1992,1,0,23900,0.0,0.0,251,1,709452584.0
48,1993,1,18,243300,7.4,0.0,437,2,1228071038.0
49,1993,1,7,165000,4.24,0.0,437,5,1228071038.0
50,1993,1,1,24200,4.13,0.0,437,1,1228071038.0
51,1993,1,9,230100,3.91,0.0,437,0,1228071038.0
52,1993,0,10,285300,3.51,0.0,437,2,1228071038.0
53,1993,1,10,350300,2.85,0.0,437,0,1228071038.0
54,1993,0,7,261800,2.67,0.0,437,0,1228071038.0
55,1993,0,7,331200,2.11,0.0,437,0,1228071038.0
56,1993,0,2,169500,1.18,0.0,437,5,1228071038.0
57,1993,0,1,340300,0.29,0.0,437,4,1228071038.0
58,1993,1,1,367000,0.27,0.0,437,4,1228071038.0
59,1993,0,0,39300,0.0,0.0,437,1,1228071038.0
60,1994,1,2,24600,8.13,0.0,697,1,1985673798.0
61,1994,1,11,171400,6.42,0.0,697,5,1985673798.0
62,1994,0,2,39900,5.01,0.0,697,1,1985673798.0
63,1994,1,6,231400,2.59,0.0,697,0,1985673798.0
64,1994,1,9,362800,2.48,0.0,697,0,1985673798.0
65,1994,1,6,242200,2.48,0.0,697,2,1985673798.0
66,1994,0,6,282600,2.12,0.0,697,2,1985673798.0
67,1994,0,4,261100,1.53,0.0,697,0,1985673798.0
68,1994,0,2,342500,0.58,0.0,697,0,1985673798.0
69,1994,0,1,174600,0.57,0.0,697,5,1985673798.0
70,1994,1,1,371800,0.27,0.0,697,4,1985673798.0
71,1994,0,0,344400,0.0,0.0,697,4,1985673798.0
72,1995,1,13,232900,5.58,0.619,835,2,2424499009.0
73,1995,1,9,178000,5.06,0.619,835,5,2424499009.0
74,1995,0,2,40800,4.9,0.619,835,1,2424499009.0
75,1995,0,13,283500,4.59,0.619,835,2,2424499009.0
76,1995,1,11,241200,4.56,0.619,835,2,2424499009.0
77,1995,1,1,25100,3.98,0.619,835,1,2424499009.0
78,1995,1,14,375900,3.72,0.619,835,0,2424499009.0
79,1995,0,7,264000,2.65,0.619,835,2,2424499009.0
80,1995,0,8,356400,2.24,0.619,835,0,2424499009.0
81,1995,1,6,376500,1.59,0.619,835,4,2424499009.0
82,1995,0,2,180400,1.11,0.619,835,5,2424499009.0
83,1995,0,2,348700,0.57,0.619,835,4,2424499009.0
84,1996,1,2,25400,7.87,0.0,1127,1,3314898292.0
85,1996,1,17,243600,6.98,0.0,1127,2,3314898292.0
86,1996,1,14,235300,5.95,0.0,1127,2,3314898292.0
87,1996,0,16,287700,5.56,0.0,1127,2,3314898292.0
88,1996,0,2,41200,4.85,0.0,1127,1,3314898292.0
89,1996,0,10,267900,3.73,0.0,1127,2,3314898292.0
90,1996,1,12,379600,3.16,0.0,1127,0,3314898292.0
91,1996,0,9,362000,2.49,0.0,1127,0,3314898292.0
92,1996,1,3,179900,1.67,0.0,1127,5,3314898292.0
93,1996,0,1,183100,0.55,0.0,1127,5,3314898292.0
94,1996,1,2,380400,0.53,0.0,1127,4,3314898292.0
95,1996,0,1,354100,0.28,0.0,1127,4,3314898292.0
96,1997,1,36,236000,15.25,0.0,793,2,2359903108.0
97,1997,1,33,244400,13.5,0.0,793,2,2359903108.0
98,1997,1,3,25400,11.81,0.0,793,1,2359903108.0
99,1997,1,30,380800,7.88,0.0,793,0,2359903108.0
100,1997,0,21,294000,7.14,0.0,793,2,2359903108.0
101,1997,1,12,180300,6.66,0.0,793,5,2359903108.0
102,1997,0,16,273900,5.84,0.0,793,2,2359903108.0
103,1997,0,2,42100,4.75,0.0,793,1,2359903108.0
104,1997,0,7,370100,1.89,0.0,793,0,2359903108.0
105,1997,0,6,361800,1.66,0.0,793,4,2359903108.0
106,1997,1,4,381500,1.05,0.0,793,4,2359903108.0
107,1997,0,0,187000,0.0,0.0,793,5,2359903108.0
108,1998,1,3,25800,11.63,0.0,899,1,2707123772.0
109,1998,1,27,248800,10.85,0.0,899,2,2707123772.0
110,1998,0,32,295600,10.83,0.0,899,2,2707123772.0
111,1998,1,26,240400,10.82,0.0,899,2,2707123772.0
112,1998,1,29,388200,7.47,0.0,899,0,2707123772.0
113,1998,1,9,183800,4.9,0.0,899,5,2707123772.0
114,1998,0,10,275300,3.63,0.0,899,2,2707123772.0
115,1998,0,6,188200,3.19,0.0,899,5,2707123772.0
116,1998,0,9,372100,2.42,0.0,899,0,2707123772.0
117,1998,1,2,388400,0.51,0.0,899,4,2707123772.0
118,1998,0,1,363800,0.27,0.0,899,4,2707123772.0
119,1998,0,0,42300,0.0,0.0,899,1,2707123772.0
120,1999,1,3,25900,11.58,0.0,1127,1,3414760915.0
121,1999,1,24,250600,9.58,0.0,1127,2,3414760915.0
122,1999,0,4,42400,9.43,0.0,1127,1,3414760915.0
123,1999,1,31,391100,7.93,0.0,1127,0,3414760915.0
124,1999,1,19,242300,7.84,0.0,1127,2,3414760915.0
125,1999,1,14,185200,7.56,0.0,1127,5,3414760915.0
126,1999,0,19,296800,6.4,0.0,1127,2,3414760915.0
127,1999,0,13,276500,4.7,0.0,1127,2,3414760915.0
128,1999,0,6,188800,3.18,0.0,1127,5,3414760915.0
129,1999,0,5,373600,1.34,0.0,1127,0,3414760915.0
130,1999,0,1,365200,0.27,0.0,1127,4,3414760915.0
131,1999,1,0,391300,0.0,0.0,1127,4,3414760915.0
132,2000,1,17,232000,7.33,0.656,1299,2,3632043908.0
133,2000,1,10,177400,5.64,0.656,1299,5,3632043908.0
134,2000,0,2,37800,5.29,0.656,1299,1,3632043908.0
135,2000,1,1,24900,4.02,0.656,1299,1,3632043908.0
136,2000,0,6,263900,2.27,0.656,1299,2,3632043908.0
137,2000,1,5,240000,2.08,0.656,1299,2,3632043908.0
138,2000,0,5,332200,1.51,0.656,1299,0,3632043908.0
139,2000,0,3,245800,1.22,0.656,1299,2,3632043908.0
140,2000,1,4,374700,1.07,0.656,1299,0,3632043908.0
141,2000,1,1,374900,0.27,0.656,1299,4,3632043908.0
142,2000,0,0,324700,0.0,0.656,1299,4,3632043908.0
143,2000,0,0,168000,0.0,0.656,1299,5,3632043908.0
144,2001,1,22,206484,10.65,0.0,1451,2,4060758804.0
145,2001,1,34,378826,8.98,0.0,1451,0,4060758804.0
146,2001,1,11,196670,5.59,0.0,1451,5,4060758804.0
147,2001,0,2,47254,4.23,0.0,1451,5,4060758804.0
148,2001,1,10,256039,3.91,0.0,1451,4,4060758804.0
149,2001,0,9,271359,3.32,0.0,1451,4,4060758804.0
150,2001,0,12,370191,3.24,0.0,1451,0,4060758804.0
151,2001,1,1,31044,3.22,0.0,1451,5,4060758804.0
152,2001,0,6,189799,3.16,0.0,1451,5,4060758804.0
153,2001,1,6,321556,1.87,0.0,1451,4,4060758804.0
154,2001,0,4,222771,1.8,0.0,1451,2,4060758804.0
155,2001,0,2,307356,0.65,0.0,1451,4,4060758804.0
156,2002,1,4,31007,12.9,0.0,1573,5,4435078648.0
157,2002,1,23,206286,11.15,0.0,1573,2,4435078648.0
158,2002,1,35,382139,9.16,0.0,1573,0,4435078648.0
159,2002,1,13,198130,6.56,0.0,1573,5,4435078648.0
160,2002,1,15,263067,5.7,0.0,1573,4,4435078648.0
161,2002,0,14,275970,5.07,0.0,1573,4,4435078648.0
162,2002,0,15,375113,4.0,0.0,1573,0,4435078648.0
163,2002,0,7,223685,3.13,0.0,1573,2,4435078648.0
164,2002,0,1,47407,2.11,0.0,1573,5,4435078648.0
165,2002,0,4,191712,2.09,0.0,1573,5,4435078648.0
166,2002,0,1,304850,0.33,0.0,1573,4,4435078648.0
167,2002,1,1,319473,0.31,0.0,1573,4,4435078648.0
168,2003,0,6,49088,12.22,0.0,2021,5,5746945913.0
169,2003,1,16,201520,7.94,0.0,2021,5,5746945913.0
170,2003,1,28,386196,7.25,0.0,2021,0,5746945913.0
171,2003,1,15,273235,5.49,0.0,2021,4,5746945913.0
172,2003,0,14,283709,4.93,0.0,2021,4,5746945913.0
173,2003,0,9,195699,4.6,0.0,2021,5,5746945913.0
174,2003,1,9,205433,4.38,0.0,2021,2,5746945913.0
175,2003,0,9,222941,4.04,0.0,2021,2,5746945913.0
176,2003,0,13,381760,3.41,0.0,2021,0,5746945913.0
177,2003,1,1,32667,3.06,0.0,2021,5,5746945913.0
178,2003,1,4,313204,1.28,0.0,2021,4,5746945913.0
179,2003,0,0,298477,0.0,0.0,2021,4,5746945913.0
180,2004,1,4,35526,11.26,0.0,2544,5,7314865176.0
181,2004,1,39,391767,9.95,0.0,2544,0,7314865176.0
182,2004,1,16,203938,7.85,0.0,2544,2,7314865176.0
183,2004,0,20,292268,6.84,0.0,2544,4,7314865176.0
184,2004,1,19,286768,6.63,0.0,2544,4,7314865176.0
185,2004,0,3,50970,5.89,0.0,2544,5,7314865176.0
186,2004,0,11,222389,4.95,0.0,2544,2,7314865176.0
187,2004,1,10,207202,4.83,0.0,2544,5,7314865176.0
188,2004,0,17,391436,4.34,0.0,2544,0,7314865176.0
189,2004,0,3,203841,1.47,0.0,2544,5,7314865176.0
190,2004,0,3,286705,1.05,0.0,2544,4,7314865176.0
191,2004,1,1,302181,0.33,0.0,2544,4,7314865176.0
192,2005,0,0,281922,0.0,0.695,2931,4,8158548717.0
193,2005,0,0,190745,0.0,0.695,2931,2,8158548717.0
194,2005,0,0,386513,0.0,0.695,2931,0,8158548717.0
195,2005,0,0,276559,0.0,0.695,2931,4,8158548717.0
196,2005,0,0,210998,0.0,0.695,2931,5,8158548717.0
197,2005,0,0,53191,0.0,0.695,2931,5,8158548717.0
198,2005,1,0,281675,0.0,0.695,2931,4,8158548717.0
199,2005,1,0,177519,0.0,0.695,2931,2,8158548717.0
200,2005,1,0,380242,0.0,0.695,2931,0,8158548717.0
201,2005,1,0,291367,0.0,0.695,2931,4,8158548717.0
202,2005,1,0,214118,0.0,0.695,2931,5,8158548717.0
203,2005,1,0,38471,0.0,0.695,2931,5,8158548717.0
204,2006,0,0,283138,0.0,0.0,3235,4,8992642349.0
205,2006,0,0,186391,0.0,0.0,3235,2,8992642349.0
206,2006,0,0,388746,0.0,0.0,3235,0,8992642349.0
207,2006,0,0,267316,0.0,0.0,3235,4,8992642349.0
208,2006,0,0,215907,0.0,0.0,3235,5,8992642349.0
209,2006,0,0,56011,0.0,0.0,3235,5,8992642349.0
210,2006,1,0,286679,0.0,0.0,3235,4,8992642349.0
211,2006,1,0,174092,0.0,0.0,3235,2,8992642349.0
212,2006,1,0,379076,0.0,0.0,3235,0,8992642349.0
213,2006,1,0,282678,0.0,0.0,3235,4,8992642349.0
214,2006,1,0,219360,0.0,0.0,3235,5,8992642349.0
215,2006,1,0,40782,0.0,0.0,3235,5,8992642349.0
216,2007,1,8,42366,18.88,0.0,3863,5,10701011897.0
217,2007,1,29,378626,7.66,0.0,3863,0,10701011897.0
218,2007,1,14,224160,6.25,0.0,3863,5,10701011897.0
219,2007,0,3,57404,5.23,0.0,3863,5,10701011897.0
220,2007,1,9,172494,5.22,0.0,3863,2,10701011897.0
221,2007,0,13,281080,4.63,0.0,3863,4,10701011897.0
222,2007,1,13,288349,4.51,0.0,3863,4,10701011897.0
223,2007,0,8,183629,4.36,0.0,3863,2,10701011897.0
224,2007,0,9,221120,4.07,0.0,3863,5,10701011897.0
225,2007,0,14,391811,3.57,0.0,3863,0,10701011897.0
226,2007,1,4,272497,1.47,0.0,3863,3,10701011897.0
227,2007,0,0,256808,0.0,0.0,3863,3,10701011897.0
228,2008,1,21,172855,12.15,0.0,4672,2,12881352688.0
229,2008,1,37,377119,9.81,0.0,4672,0,12881352688.0
230,2008,1,21,228672,9.18,0.0,4672,5,12881352688.0
231,2008,0,5,59369,8.42,0.0,4672,5,12881352688.0
232,2008,0,20,276073,7.24,0.0,4672,4,12881352688.0
233,2008,0,9,182663,4.93,0.0,4672,2,12881352688.0
234,2008,0,19,393832,4.82,0.0,4672,0,12881352688.0
235,2008,1,2,44574,4.49,0.0,4672,5,12881352688.0
236,2008,1,11,286702,3.84,0.0,4672,4,12881352688.0
237,2008,0,7,226448,3.09,0.0,4672,5,12881352688.0
238,2008,1,7,262464,2.67,0.0,4672,3,12881352688.0
239,2008,0,1,246288,0.41,0.0,4672,3,12881352688.0
240,2009,0,0,270003,0.0,0.0,4387,4,12044212904.0
241,2009,0,0,182712,0.0,0.0,4387,2,12044212904.0
242,2009,0,0,394286,0.0,0.0,4387,0,12044212904.0
243,2009,0,0,236174,0.0,0.0,4387,3,12044212904.0
244,2009,0,0,233302,0.0,0.0,4387,5,12044212904.0
245,2009,0,0,61582,0.0,0.0,4387,5,12044212904.0
246,2009,1,0,283448,0.0,0.0,4387,4,12044212904.0
247,2009,1,0,174955,0.0,0.0,4387,2,12044212904.0
248,2009,1,0,374365,0.0,0.0,4387,0,12044212904.0
249,2009,1,0,253007,0.0,0.0,4387,3,12044212904.0
250,2009,1,0,234570,0.0,0.0,4387,5,12044212904.0
251,2009,1,0,47331,0.0,0.0,4387,5,12044212904.0
252,2010,1,20,241852,8.27,0.722,4359,5,11926953259.0
253,2010,1,20,371611,5.38,0.722,4359,2,11926953259.0
254,2010,1,9,179720,5.01,0.722,4359,2,11926953259.0
255,2010,1,2,50767,3.94,0.722,4359,5,11926953259.0
256,2010,1,10,279508,3.58,0.722,4359,4,11926953259.0
257,2010,0,6,183579,3.27,0.722,4359,2,11926953259.0
258,2010,0,2,64415,3.1,0.722,4359,5,11926953259.0
259,2010,0,12,394593,3.04,0.722,4359,2,11926953259.0
260,2010,0,7,241491,2.9,0.722,4359,5,11926953259.0
261,2010,0,6,263581,2.28,0.722,4359,4,11926953259.0
262,2010,0,2,223969,0.89,0.722,4359,3,11926953259.0
263,2010,1,0,240939,0.0,0.722,4359,3,11926953259.0
264,1985,0,0,7709,0.0,0.0,3850,2,240923926.0
265,1985,0,0,6344,0.0,0.0,3850,0,240923926.0
266,1985,0,0,6173,0.0,0.0,3850,5,240923926.0
267,1985,0,0,7339,0.0,0.0,3850,2,240923926.0
268,1985,0,0,3778,0.0,0.0,3850,1,240923926.0
269,1985,0,0,949,0.0,0.0,3850,1,240923926.0
270,1985,1,0,7667,0.0,0.0,3850,2,240923926.0
271,1985,1,0,6194,0.0,0.0,3850,0,240923926.0
272,1985,1,0,5970,0.0,0.0,3850,5,240923926.0
273,1985,1,0,7304,0.0,0.0,3850,2,240923926.0
274,1985,1,0,2723,0.0,0.0,3850,1,240923926.0
275,1985,1,0,424,0.0,0.0,3850,1,240923926.0
276,1986,0,0,7668,0.0,0.0,4740,2,290440148.0
277,1986,0,0,6209,0.0,0.0,4740,0,290440148.0
278,1986,0,0,6101,0.0,0.0,4740,5,290440148.0
279,1986,0,0,6907,0.0,0.0,4740,2,290440148.0
280,1986,0,0,3764,0.0,0.0,4740,1,290440148.0
281,1986,0,0,1014,0.0,0.0,4740,1,290440148.0
282,1986,1,0,7563,0.0,0.0,4740,2,290440148.0
283,1986,1,0,6023,0.0,0.0,4740,0,290440148.0
284,1986,1,0,5947,0.0,0.0,4740,5,290440148.0
285,1986,1,0,6827,0.0,0.0,4740,2,290440148.0
286,1986,1,0,2771,0.0,0.0,4740,1,290440148.0
287,1986,1,0,476,0.0,0.0,4740,1,290440148.0
288,1987,0,0,7583,0.0,0.0,5595,2,337174852.0
289,1987,0,0,6101,0.0,0.0,5595,0,337174852.0
290,1987,0,0,6059,0.0,0.0,5595,5,337174852.0
291,1987,0,0,6623,0.0,0.0,5595,2,337174852.0
292,1987,0,0,3738,0.0,0.0,5595,1,337174852.0
293,1987,0,0,1081,0.0,0.0,5595,1,337174852.0
294,1987,1,0,7421,0.0,0.0,5595,2,337174852.0
295,1987,1,0,5893,0.0,0.0,5595,0,337174852.0
296,1987,1,0,5927,0.0,0.0,5595,5,337174852.0
297,1987,1,0,6499,0.0,0.0,5595,2,337174852.0
298,1987,1,0,2798,0.0,0.0,5595,1,337174852.0
299,1987,1,0,538,0.0,0.0,5595,1,337174852.0
300,1988,0,0,7413,0.0,0.0,6693,2,398637741.0
301,1988,0,0,6041,0.0,0.0,6693,0,398637741.0
302,1988,0,0,6021,0.0,0.0,6693,5,398637741.0
303,1988,0,0,6527,0.0,0.0,6693,2,398637741.0
304,1988,0,0,3708,0.0,0.0,6693,1,398637741.0
305,1988,0,0,1141,0.0,0.0,6693,1,398637741.0
306,1988,1,0,7209,0.0,0.0,6693,2,398637741.0
307,1988,1,0,5826,0.0,0.0,6693,0,398637741.0
308,1988,1,0,5907,0.0,0.0,6693,5,398637741.0
309,1988,1,0,6355,0.0,0.0,6693,2,398637741.0
310,1988,1,0,2813,0.0,0.0,6693,1,398637741.0
311,1988,1,0,603,0.0,0.0,6693,1,398637741.0
312,1989,0,0,7152,0.0,0.0,7407,2,438794778.0
313,1989,0,0,6059,0.0,0.0,7407,0,438794778.0
314,1989,0,0,5969,0.0,0.0,7407,5,438794778.0
315,1989,0,0,6621,0.0,0.0,7407,2,438794778.0
316,1989,0,0,3696,0.0,0.0,7407,1,438794778.0
317,1989,0,0,1195,0.0,0.0,7407,1,438794778.0
318,1989,1,0,6927,0.0,0.0,7407,2,438794778.0
319,1989,1,0,5835,0.0,0.0,7407,0,438794778.0
320,1989,1,0,5862,0.0,0.0,7407,5,438794778.0
321,1989,1,0,6403,0.0,0.0,7407,2,438794778.0
322,1989,1,0,2843,0.0,0.0,7407,1,438794778.0
323,1989,1,0,676,0.0,0.0,7407,1,438794778.0
324,1990,1,1,5799,17.24,0.0,7744,5,459469074.0
325,1990,0,0,6827,0.0,0.0,7744,2,459469074.0
326,1990,0,0,6172,0.0,0.0,7744,0,459469074.0
327,1990,0,0,5895,0.0,0.0,7744,5,459469074.0
328,1990,0,0,6877,0.0,0.0,7744,2,459469074.0
329,1990,0,0,3706,0.0,0.0,7744,1,459469074.0
330,1990,0,0,1252,0.0,0.0,7744,1,459469074.0
331,1990,1,0,6598,0.0,0.0,7744,2,459469074.0
332,1990,1,0,5937,0.0,0.0,7744,0,459469074.0
333,1990,1,0,6611,0.0,0.0,7744,2,459469074.0
334,1990,1,0,2902,0.0,0.0,7744,1,459469074.0
335,1990,1,0,758,0.0,0.0,7744,1,459469074.0
336,1991,0,0,6595,0.0,0.0,7976,2,481706333.0
337,1991,0,0,6396,0.0,0.0,7976,0,481706333.0
338,1991,0,0,6198,0.0,0.0,7976,0,481706333.0
339,1991,0,0,7089,0.0,0.0,7976,4,481706333.0
340,1991,0,0,3665,0.0,0.0,7976,5,481706333.0
341,1991,0,0,1293,0.0,0.0,7976,1,481706333.0
342,1991,1,0,6401,0.0,0.0,7976,2,481706333.0
343,1991,1,0,6156,0.0,0.0,7976,0,481706333.0
344,1991,1,0,6122,0.0,0.0,7976,0,481706333.0
345,1991,1,0,6818,0.0,0.0,7976,4,481706333.0
346,1991,1,0,2857,0.0,0.0,7976,5,481706333.0
347,1991,1,0,804,0.0,0.0,7976,1,481706333.0
348,1992,0,0,6369,0.0,0.0,8087,2,499281148.0
349,1992,0,0,6650,0.0,0.0,8087,0,499281148.0
350,1992,0,0,6534,0.0,0.0,8087,0,499281148.0
351,1992,0,0,7311,0.0,0.0,8087,4,499281148.0
352,1992,0,0,3648,0.0,0.0,8087,5,499281148.0
353,1992,0,0,1339,0.0,0.0,8087,1,499281148.0
354,1992,1,0,6221,0.0,0.0,8087,2,499281148.0
355,1992,1,0,6409,0.0,0.0,8087,0,499281148.0
356,1992,1,0,6497,0.0,0.0,8087,0,499281148.0
357,1992,1,0,7059,0.0,0.0,8087,4,499281148.0
358,1992,1,0,2851,0.0,0.0,8087,5,499281148.0
359,1992,1,0,853,0.0,0.0,8087,1,499281148.0
360,1993,1,1,6668,15.0,0.0,8453,0,535172778.0
361,1993,0,0,6182,0.0,0.0,8453,2,535172778.0
362,1993,0,0,6914,0.0,0.0,8453,0,535172778.0
363,1993,0,0,6917,0.0,0.0,8453,0,535172778.0
364,1993,0,0,7529,0.0,0.0,8453,4,535172778.0
365,1993,0,0,3662,0.0,0.0,8453,5,535172778.0
366,1993,0,0,1386,0.0,0.0,8453,1,535172778.0
367,1993,1,0,6069,0.0,0.0,8453,2,535172778.0
368,1993,1,0,6915,0.0,0.0,8453,0,535172778.0
369,1993,1,0,7298,0.0,0.0,8453,4,535172778.0
370,1993,1,0,2879,0.0,0.0,8453,5,535172778.0
371,1993,1,0,896,0.0,0.0,8453,1,535172778.0
372,1994,0,0,6083,0.0,0.0,9062,2,589429593.0
373,1994,0,0,7151,0.0,0.0,9062,0,589429593.0
374,1994,0,0,7357,0.0,0.0,9062,0,589429593.0
375,1994,0,0,7722,0.0,0.0,9062,4,589429593.0
376,1994,0,0,3715,0.0,0.0,9062,5,589429593.0
377,1994,0,0,1437,0.0,0.0,9062,1,589429593.0
378,1994,1,0,5976,0.0,0.0,9062,2,589429593.0
379,1994,1,0,6886,0.0,0.0,9062,0,589429593.0
380,1994,1,0,7359,0.0,0.0,9062,0,589429593.0
381,1994,1,0,7494,0.0,0.0,9062,4,589429593.0
382,1994,1,0,2935,0.0,0.0,9062,5,589429593.0
383,1994,1,0,929,0.0,0.0,9062,1,589429593.0
384,1995,0,0,6099,0.0,0.0,8636,2,577280741.0
385,1995,0,0,7333,0.0,0.0,8636,2,577280741.0
386,1995,0,0,7851,0.0,0.0,8636,0,577280741.0
387,1995,0,0,7885,0.0,0.0,8636,4,577280741.0
388,1995,0,0,3808,0.0,0.0,8636,5,577280741.0
389,1995,0,0,1488,0.0,0.0,8636,1,577280741.0
390,1995,1,0,5953,0.0,0.0,8636,2,577280741.0
391,1995,1,0,7023,0.0,0.0,8636,2,577280741.0
392,1995,1,0,7809,0.0,0.0,8636,0,577280741.0
393,1995,1,0,7632,0.0,0.0,8636,4,577280741.0
394,1995,1,0,3021,0.0,0.0,8636,5,577280741.0
395,1995,1,0,944,0.0,0.0,8636,1,577280741.0
396,1998,0,0,6529,0.0,0.0,10078,2,727860593.0
397,1998,0,0,8332,0.0,0.0,10078,2,727860593.0
398,1998,0,0,9615,0.0,0.0,10078,0,727860593.0
399,1998,0,0,8183,0.0,0.0,10078,4,727860593.0
400,1998,0,0,3921,0.0,0.0,10078,5,727860593.0
401,1998,0,0,1476,0.0,0.0,10078,1,727860593.0
402,1998,1,0,5916,0.0,0.0,10078,2,727860593.0
403,1998,1,0,7294,0.0,0.0,10078,2,727860593.0
404,1998,1,0,9086,0.0,0.0,10078,0,727860593.0
405,1998,1,0,7706,0.0,0.0,10078,4,727860593.0
406,1998,1,0,3213,0.0,0.0,10078,5,727860593.0
407,1998,1,0,954,0.0,0.0,10078,1,727860593.0
408,1999,0,0,6589,0.0,0.0,10378,2,766198926.0
409,1999,0,0,8526,0.0,0.0,10378,2,766198926.0
410,1999,0,0,10311,0.0,0.0,10378,0,766198926.0
411,1999,0,0,8314,0.0,0.0,10378,4,766198926.0
412,1999,0,0,3968,0.0,0.0,10378,5,766198926.0
413,1999,0,0,1451,0.0,0.0,10378,1,766198926.0
414,1999,1,0,5845,0.0,0.0,10378,2,766198926.0
415,1999,1,0,7263,0.0,0.0,10378,2,766198926.0
416,1999,1,0,9537,0.0,0.0,10378,0,766198926.0
417,1999,1,0,7805,0.0,0.0,10378,4,766198926.0
418,1999,1,0,3276,0.0,0.0,10378,5,766198926.0
419,1999,1,0,947,0.0,0.0,10378,1,766198926.0
420,2000,1,1,3333,30.0,0.0,11021,5,830158778.0
421,2000,1,1,10033,9.97,0.0,11021,0,830158778.0
422,2000,0,0,6616,0.0,0.0,11021,2,830158778.0
423,2000,0,0,8595,0.0,0.0,11021,2,830158778.0
424,2000,0,0,11040,0.0,0.0,11021,0,830158778.0
425,2000,0,0,8439,0.0,0.0,11021,4,830158778.0
426,2000,0,0,3986,0.0,0.0,11021,5,830158778.0
427,2000,0,0,1413,0.0,0.0,11021,1,830158778.0
428,2000,1,0,5783,0.0,0.0,11021,2,830158778.0
429,2000,1,0,7177,0.0,0.0,11021,2,830158778.0
430,2000,1,0,7973,0.0,0.0,11021,4,830158778.0
431,2000,1,0,938,0.0,0.0,11021,1,830158778.0
432,2001,1,2,10281,19.45,0.0,10468,0,800740259.0
433,2001,0,0,6902,0.0,0.0,10468,4,800740259.0
434,2001,0,0,8425,0.0,0.0,10468,2,800740259.0
435,2001,0,0,11402,0.0,0.0,10468,0,800740259.0
436,2001,0,0,8428,0.0,0.0,10468,4,800740259.0
437,2001,0,0,4037,0.0,0.0,10468,5,800740259.0
438,2001,0,0,1487,0.0,0.0,10468,5,800740259.0
439,2001,1,0,6084,0.0,0.0,10468,4,800740259.0
440,2001,1,0,7071,0.0,0.0,10468,2,800740259.0
441,2001,1,0,7958,0.0,0.0,10468,4,800740259.0
442,2001,1,0,3442,0.0,0.0,10468,5,800740259.0
443,2001,1,0,980,0.0,0.0,10468,5,800740259.0
